instance,query,time
m6i.4xlarge,1,2.1237003803253174
m6i.4xlarge,1,2.120365858078003
m6i.4xlarge,1,2.123751401901245
m6i.4xlarge,2,0.5845475196838379
m6i.4xlarge,2,0.5608806610107422
m6i.4xlarge,2,0.5577864646911621
m6i.4xlarge,3,1.623718023300171
m6i.4xlarge,3,1.6025917530059814
m6i.4xlarge,3,1.6008789539337158
m6i.4xlarge,4,5.4644715785980225
m6i.4xlarge,4,5.290906190872192
m6i.4xlarge,4,5.4838573932647705
m6i.4xlarge,5,1.6687548160552979
m6i.4xlarge,5,1.6420373916625977
m6i.4xlarge,5,1.6784188747406006
m6i.4xlarge,6,0.48870372772216797
m6i.4xlarge,6,0.4864184856414795
m6i.4xlarge,6,0.4867687225341797
m6i.4xlarge,7,6.84340500831604
m6i.4xlarge,7,6.5950539112091064
m6i.4xlarge,7,6.569835186004639
m6i.4xlarge,8,1.6266889572143555
m6i.4xlarge,8,1.6040446758270264
m6i.4xlarge,8,1.6081387996673584
m6i.4xlarge,9,9.589573621749878
m6i.4xlarge,9,9.104073286056519
m6i.4xlarge,9,9.23467230796814
m6i.4xlarge,10,3.186553716659546
m6i.4xlarge,10,3.2196896076202393
m6i.4xlarge,10,3.230849027633667
m6i.4xlarge,11,0.17243432998657227
m6i.4xlarge,11,0.17262983322143555
m6i.4xlarge,11,0.22039031982421875
m6i.4xlarge,12,1.1765379905700684
m6i.4xlarge,12,1.25907564163208
m6i.4xlarge,12,1.1917967796325684
m6i.4xlarge,13,5.52002739906311
m6i.4xlarge,13,5.707583665847778
m6i.4xlarge,13,5.695191860198975
m6i.4xlarge,14,1.4692699909210205
m6i.4xlarge,14,1.0926260948181152
m6i.4xlarge,14,1.084238052368164
m6i.4xlarge,15,1.6472594738006592
m6i.4xlarge,15,1.6831538677215576
m6i.4xlarge,15,1.6873741149902344
m6i.4xlarge,16,0.7574136257171631
m6i.4xlarge,16,0.7660932540893555
m6i.4xlarge,16,0.7775919437408447
m6i.4xlarge,17,50.20178699493408
m6i.4xlarge,17,47.75415229797363
m6i.4xlarge,17,53.470486879348755
m6i.4xlarge,18,12.810033082962036
m6i.4xlarge,18,13.135449409484863
m6i.4xlarge,18,12.965357542037964
m6i.4xlarge,19,2.921593427658081
m6i.4xlarge,19,2.9056670665740967
m6i.4xlarge,19,2.583454132080078
m6i.4xlarge,20,3.5789167881011963
m6i.4xlarge,20,3.5520505905151367
m6i.4xlarge,20,3.6112754344940186
m6i.4xlarge,21,205.9717984199524
m6i.4xlarge,21,94.27726578712463
m6i.4xlarge,21,78.17571640014648
m6i.4xlarge,22,6.8122968673706055
m6i.4xlarge,22,2.9660823345184326
m6i.4xlarge,22,2.904846429824829
