instance,query,time
c7gd.8xlarge,1,1.1742157936096191
c7gd.8xlarge,1,0.6874074935913086
c7gd.8xlarge,1,0.6820907592773438
c7gd.8xlarge,2,0.4365086555480957
c7gd.8xlarge,2,0.26075100898742676
c7gd.8xlarge,2,0.2620079517364502
c7gd.8xlarge,3,0.8197879791259766
c7gd.8xlarge,3,0.587104320526123
c7gd.8xlarge,3,0.590472936630249
c7gd.8xlarge,4,3.9153380393981934
c7gd.8xlarge,4,3.0295870304107666
c7gd.8xlarge,4,3.0459611415863037
c7gd.8xlarge,5,0.7482814788818359
c7gd.8xlarge,5,0.5894303321838379
c7gd.8xlarge,5,0.6072258949279785
c7gd.8xlarge,6,0.156111478805542
c7gd.8xlarge,6,0.15524578094482422
c7gd.8xlarge,6,0.15515375137329102
c7gd.8xlarge,7,3.792525053024292
c7gd.8xlarge,7,2.988002300262451
c7gd.8xlarge,7,3.061741352081299
c7gd.8xlarge,8,0.6433145999908447
c7gd.8xlarge,8,0.5569989681243896
c7gd.8xlarge,8,0.5375804901123047
c7gd.8xlarge,9,3.030627965927124
c7gd.8xlarge,9,2.827895164489746
c7gd.8xlarge,9,2.849745035171509
c7gd.8xlarge,10,1.6264915466308594
c7gd.8xlarge,10,1.6938374042510986
c7gd.8xlarge,10,1.6202754974365234
c7gd.8xlarge,11,0.08223080635070801
c7gd.8xlarge,11,0.07941079139709473
c7gd.8xlarge,11,0.07561969757080078
c7gd.8xlarge,12,0.37490272521972656
c7gd.8xlarge,12,0.3730590343475342
c7gd.8xlarge,12,0.43546414375305176
c7gd.8xlarge,13,2.3139944076538086
c7gd.8xlarge,13,1.9630908966064453
c7gd.8xlarge,13,2.002570629119873
c7gd.8xlarge,14,0.4976980686187744
c7gd.8xlarge,14,0.5714709758758545
c7gd.8xlarge,14,0.5337481498718262
c7gd.8xlarge,15,0.5915441513061523
c7gd.8xlarge,15,0.6250991821289062
c7gd.8xlarge,15,0.6375792026519775
c7gd.8xlarge,16,0.3565652370452881
c7gd.8xlarge,16,0.4158802032470703
c7gd.8xlarge,16,0.39547109603881836
c7gd.8xlarge,17,11.443986654281616
c7gd.8xlarge,17,10.693920850753784
c7gd.8xlarge,17,6.682291030883789
c7gd.8xlarge,18,8.066023111343384
c7gd.8xlarge,18,7.030241966247559
c7gd.8xlarge,18,6.503793478012085
c7gd.8xlarge,19,1.2038850784301758
c7gd.8xlarge,19,1.338554859161377
c7gd.8xlarge,19,1.2005457878112793
c7gd.8xlarge,20,1.9034597873687744
c7gd.8xlarge,20,1.9728350639343262
c7gd.8xlarge,20,1.9282429218292236
c7gd.8xlarge,21,16.268558502197266
c7gd.8xlarge,21,12.907798528671265
c7gd.8xlarge,21,14.109925031661987
c7gd.8xlarge,22,2.8259479999542236
c7gd.8xlarge,22,3.01594614982605
c7gd.8xlarge,22,2.2681422233581543
